Sequence Length,OPT,MTF,Transpose,2-in-a-Row
100000,45181377,25037762,49985488,43869843
200000,92400780,50055451,99410032,86950060
300000,140745038,74810017,149911712,131125448
400000,189445179,100445129,199497506,175737103
500000,237597205,124844653,249383833,217703784
600000,285923170,149666045,298890123,262370924
700000,333773441,174699883,348935223,305621406
800000,383132440,199725354,397343309,349578537
900000,432676243,225110448,448288484,393047862
1000000,480459617,249787664,498271996,436940376
